#Data stored on SZ timesteps
#Time	Obs 5	Obs 35	Obs 37	Obs 65
#Unit	100180	1000	0	100180	1000	0	100180	1000	0	100180	1000	0
1977-09-01 00:00:00	-999	42.949	35.058	26.299
1977-09-08 00:00:00	-999	42.858	34.932	26.32
1977-09-15 00:00:00	-999	43.039	35.021	26.478
1977-09-22 00:00:00	-999	42.82	34.94	26.129
1977-09-29 00:00:00	-999	42.939	35.059	26.333
1977-10-06 00:00:00	-999	42.75	35.171	26.289
1977-10-13 00:00:00	-999	42.63	35.178	26.061
1977-10-20 00:00:00	63.613	42.698	35.089	26.292
1977-10-27 00:00:00	63.61	42.808	35.113	26.306
1977-11-03 00:00:00	63.863	42.728	35.336	26.14
1977-11-10 00:00:00	63.562	42.839	35.182	26.229
1977-11-17 00:00:00	63.774	42.633	35.448	26.413
1977-11-24 00:00:00	63.636	42.682	35.498	26.223
1977-12-01 00:00:00	63.73	43.232	35.645	26.722
1977-12-08 00:00:00	63.524	43.539	35.539	27.031
1977-12-15 00:00:00	63.762	43.579	35.713	26.905
1977-12-22 00:00:00	63.501	43.373	35.506	26.897
1977-12-29 00:00:00	63.631	43.529	35.557	26.817
1978-01-05 00:00:00	63.714	43.522	35.787	26.907
1978-01-12 00:00:00	64.011	43.782	35.626	27.059
1978-01-19 00:00:00	63.879	43.861	35.897	27.319
1978-01-26 00:00:00	63.904	43.944	35.726	27.164
1978-02-02 00:00:00	64.004	43.868	35.747	27.153
1978-02-09 00:00:00	64.33	43.809	35.537	27.316
1978-02-16 00:00:00	64.359	43.828	35.6	27.476
1978-02-23 00:00:00	64.051	44.068	35.834	27.36
1978-03-02 00:00:00	64.34	43.774	35.724	27.244
1978-03-09 00:00:00	64.098	43.657	35.555	27.095
1978-03-16 00:00:00	64.181	44.046	35.498	27.175
1978-03-23 00:00:00	63.982	43.961	35.655	27.431
1978-03-30 00:00:00	64.359	43.851	35.541	27.43
1978-04-06 00:00:00	64.271	44.272	35.516	27.672
1978-04-13 00:00:00	64.323	44.032	35.562	27.441
1978-04-20 00:00:00	64.514	44.081	35.604	27.33
1978-04-27 00:00:00	64.623	43.999	35.535	27.457
1978-05-04 00:00:00	64.542	43.977	35.257	27.058
1978-05-11 00:00:00	64.597	-999	35.189	27.068
1978-05-18 00:00:00	64.615	-999	35.322	27.023
1978-05-25 00:00:00	64.455	-999	35.411	27.095
1978-06-01 00:00:00	64.398	-999	35.388	27.132
1978-06-08 00:00:00	64.431	-999	35.215	26.904
1978-06-15 00:00:00	64.384	-999	35.221	26.922
1978-06-22 00:00:00	64.342	-999	35.186	26.881
1978-06-29 00:00:00	64.319	-999	35.357	26.949
1978-07-06 00:00:00	64.35	-999	35.314	27.118
1978-07-13 00:00:00	64.481	43.93	35.247	27.048
1978-07-20 00:00:00	64.302	43.69	35.125	26.827
1978-07-27 00:00:00	64.35	43.719	35.171	26.897
1978-08-03 00:00:00	64.302	43.851	35.22	26.859
1978-08-10 00:00:00	64.4	43.427	35.199	26.718
1978-08-17 00:00:00	64.231	43.654	35.072	26.73
1978-08-24 00:00:00	64.255	43.423	35.104	26.602
1978-08-31 00:00:00	64.099	43.52	35.13	26.579
1978-09-07 00:00:00	64.134	43.296	35.314	26.635
1978-09-14 00:00:00	64.3	43.45	35.374	26.536
1978-09-21 00:00:00	63.976	43.465	35.341	26.753
1978-09-28 00:00:00	64.088	43.364	35.415	26.612
1978-10-05 00:00:00	64.107	43.371	35.37	26.628
1978-10-12 00:00:00	64.229	43.373	35.422	26.563
1978-10-19 00:00:00	64.224	43.311	35.568	26.965
1978-10-26 00:00:00	64.093	43.476	35.466	26.569
1978-11-02 00:00:00	63.936	43.625	35.434	26.616
1978-11-09 00:00:00	64.161	43.498	35.761	26.866
1978-11-16 00:00:00	64.137	43.39	35.506	26.773
1978-11-23 00:00:00	63.921	43.414	35.714	26.874
1978-11-30 00:00:00	63.865	43.388	35.576	27.042
1978-12-07 00:00:00	64.23	43.509	35.787	27.198
1978-12-14 00:00:00	64.185	43.477	35.783	26.81
1978-12-21 00:00:00	64.064	43.503	35.557	27.01
1978-12-28 00:00:00	64.351	43.682	35.756	27.055
1979-01-04 00:00:00	64.364	43.825	35.681	26.937
1979-01-11 00:00:00	64.144	43.913	35.611	26.93
1979-01-18 00:00:00	64.181	43.896	35.6	26.999
1979-01-25 00:00:00	64.047	43.642	35.595	26.932
1979-02-01 00:00:00	64.116	43.79	35.588	27.078
1979-02-08 00:00:00	64.162	43.873	35.518	27.142
1979-02-15 00:00:00	64.103	43.611	35.453	26.845
1979-02-22 00:00:00	64.069	43.578	35.753	26.849
1979-03-01 00:00:00	64.188	43.425	35.501	26.711
1979-03-08 00:00:00	64.331	43.756	35.704	26.997
1979-03-15 00:00:00	64.012	43.921	35.584	26.799
1979-03-22 00:00:00	64.057	43.908	35.463	27.282
1979-03-29 00:00:00	63.913	43.825	35.498	27.049
1979-04-05 00:00:00	64.142	43.891	35.572	27.224
1979-04-12 00:00:00	64.251	43.765	35.699	27.063
1979-04-19 00:00:00	63.977	43.796	35.686	27.2
1979-04-26 00:00:00	64.199	43.783	35.679	27.089
1979-05-03 00:00:00	64.301	43.973	35.69	26.934
1979-05-10 00:00:00	64.213	43.625	35.588	27.256
1979-05-17 00:00:00	64.064	43.691	35.345	27.162
1979-05-24 00:00:00	64.206	43.733	35.604	26.977
1979-05-31 00:00:00	64.127	43.697	35.428	27.145
1979-06-07 00:00:00	64.17	43.679	35.47	26.957
1979-06-14 00:00:00	64.237	43.449	35.411	26.904
1979-06-21 00:00:00	64.301	43.519	35.429	26.794
1979-06-28 00:00:00	64.1	43.44	35.288	26.643
1979-07-05 00:00:00	64.273	43.32	35.191	26.536
1979-07-12 00:00:00	63.994	43.33	35.278	26.703
1979-07-19 00:00:00	64.244	43.424	35.265	26.517
1979-07-26 00:00:00	64.296	43.337	35.461	26.559
1979-08-02 00:00:00	64.098	43.206	35.288	26.413
