Data stored on SZ timesteps
Time	Obs 5	Obs 35	Obs 37	Obs 65
1970-04-20 00:00:00	64.1068	43.0088	35.5445	27.159
1970-04-21 00:00:00	64.104	43.0185	35.5452	27.1617
1970-04-22 00:00:00	64.1012	43.025	35.5412	27.1723
1970-04-23 00:00:00	64.0986	43.0362	35.5487	27.1744
1970-04-24 00:00:00	64.096	43.0418	35.5761	27.178
1970-04-25 00:00:00	64.0936	43.0468	35.6004	27.181
1970-04-26 00:00:00	64.0911	43.0607	35.5984	27.183
1970-04-27 00:00:00	64.0889	43.0649	35.5908	27.1844
1970-04-28 00:00:00	64.0868	43.0764	35.5796	27.1849
1970-04-29 00:00:00	64.0849	43.0799	35.5627	27.1845
1970-04-30 00:00:00	64.0834	43.0914	35.5628	27.1854
1970-05-01 00:00:00	64.0822	43.094	35.5642	27.193
1970-05-02 00:00:00	64.0811	43.0968	35.562	27.1928
1970-05-03 00:00:00	64.0805	43.0994	35.5515	27.1924
1970-05-04 00:00:00	64.0892	43.11	35.5424	27.1922
1970-05-05 00:00:00	64.0883	43.1126	35.5294	27.2
1970-05-06 00:00:00	64.0887	43.1151	35.5115	27.1999
1970-05-07 00:00:00	64.0975	43.1249	35.4885	27.1996
1970-05-08 00:00:00	64.1047	43.127	35.467	27.2072
1970-05-09 00:00:00	64.1056	43.1295	35.4485	27.2074
1970-05-10 00:00:00	64.1136	43.1321	35.4316	27.2075
1970-05-11 00:00:00	64.1223	43.1402	35.4155	27.2074
1970-05-12 00:00:00	64.1227	43.1424	35.3995	27.2071
1970-05-13 00:00:00	64.1292	43.152	35.3863	27.2075
1970-05-14 00:00:00	64.1456	43.1536	35.3734	27.2071
1970-05-15 00:00:00	64.1644	43.1558	35.3647	27.2065
1970-05-16 00:00:00	64.1721	43.1638	35.3512	27.2054
1970-05-17 00:00:00	64.1805	43.1658	35.3407	27.2042
1970-05-18 00:00:00	64.1889	43.1727	35.3273	27.2028
1970-05-19 00:00:00	64.1964	43.1739	35.319	27.194
1970-05-20 00:00:00	64.2038	43.1751	35.3098	27.1924
1970-05-20 20:10:06	64.2101	43.1759	35.3023	27.1813
1970-05-21 00:00:00	64.2103	43.1762	35.3	27.1548
1970-05-21 07:00:30	64.2108	43.1761	35.3034	27.1683
1970-05-21 10:11:16	64.2111	43.1763	35.302	27.1687
1970-05-21 12:00:00	64.2112	43.1764	35.3016	27.1687
1970-05-21 15:51:53	64.2116	43.1764	35.3007	27.1686
1970-05-21 20:07:33	64.212	43.1766	35.2997	27.1685
1970-05-22 00:00:00	64.2123	43.1768	35.299	27.1685
1970-05-22 05:10:45	64.2198	43.1769	35.2986	27.1683
1970-05-22 10:53:22	64.2196	43.1772	35.3022	27.1682
1970-05-22 15:13:28	64.22	43.1774	35.3018	27.1684
1970-05-22 22:09:55	64.2205	43.2081	35.3057	27.1679
1970-05-23 00:00:00	64.2206	43.2072	35.3051	27.1681
1970-05-23 08:26:11	64.2213	43.2076	35.3053	27.1674
1970-05-23 16:45:51	64.2277	43.2087	35.3078	27.1676
1970-05-24 00:00:00	64.2281	43.2093	35.3062	27.1585
1970-05-24 11:18:21	64.229	43.2175	35.3033	27.1588
1970-05-24 18:23:03	64.234	43.2181	35.3002	27.1593
1970-05-25 00:00:00	64.234	43.2184	35.2986	27.1586
1970-05-25 12:00:00	64.2348	43.2193	35.2951	27.1572
1970-05-26 00:00:00	64.24	43.2205	35.29	27.1513
1970-05-26 12:00:00	64.2406	43.2213	35.2855	27.1505
1970-05-27 00:00:00	64.2414	43.2223	35.2803	27.1498
1970-05-27 12:00:00	64.248	43.223	35.2762	27.1484
1970-05-28 00:00:00	64.2489	43.2237	35.2712	27.1476
1970-05-29 00:00:00	64.2594	43.2305	35.2628	27.1439
1970-05-29 13:10:52	64.2656	43.2314	35.2546	27.1436
1970-05-29 15:43:23	64.2655	43.2316	35.2565	27.1365
1970-05-29 18:31:32	64.2654	43.2316	35.2557	27.1366
1970-05-29 21:36:56	64.2654	43.2317	35.2544	27.1364
1970-05-30 00:00:00	64.2655	43.2318	35.2533	27.1363
1970-05-30 03:45:21	64.2655	43.2319	35.2517	27.1359
1970-05-30 07:53:48	64.2656	43.2321	35.2498	27.1355
1970-05-30 12:00:00	64.2656	43.2323	35.2479	27.1351
1970-05-30 17:01:59	64.2657	43.2324	35.2456	27.1346
1970-05-30 22:34:56	64.278	43.2326	35.2429	27.134
1970-05-31 00:00:00	64.2772	43.2327	35.2419	27.1339
1970-05-31 06:44:42	64.276	43.2328	35.2391	27.1329
1970-05-31 12:00:00	64.2758	43.233	35.2364	27.1325
1970-05-31 20:11:54	64.2757	43.2332	35.2328	27.1314
1970-06-01 00:00:00	64.2756	43.2333	35.2305	27.124
1970-06-01 09:57:55	64.284	43.2333	35.2268	27.1234
1970-06-01 17:37:38	64.2837	43.2337	35.2224	27.1231
1970-06-02 00:00:00	64.2832	43.2337	35.2195	27.1221
1970-06-02 12:00:00	64.2935	43.2336	35.2142	27.1201
1970-06-03 00:00:00	64.2915	43.2338	35.2036	27.1188
1970-06-03 12:00:00	64.2905	43.2337	35.1977	27.1169
1970-06-04 00:00:00	64.3001	43.2337	35.1905	27.1152
1970-06-04 12:00:00	64.2974	43.2335	35.1794	27.1063
1970-06-05 00:00:00	64.2964	43.2334	35.1716	27.1051
1970-06-05 12:00:00	64.3022	43.2332	35.1605	27.1027
1970-06-06 00:00:00	64.3007	43.2329	35.1523	27.1007
1970-06-07 00:00:00	64.3054	43.232	35.1316	27.0952
1970-06-08 00:00:00	64.3025	43.2315	35.1087	27.0908
1970-06-09 00:00:00	64.3052	43.2306	35.0875	27.0801
1970-06-10 00:00:00	64.302	43.2295	35.0717	27.075
1970-06-11 00:00:00	64.3033	43.2284	35.0447	27.0641
1970-06-12 00:00:00	64.2997	43.2271	35.0262	27.0588
