#Modfied: first line commented out and tabs replaced by commas.
#Mid-estuary - undredged velocity mag,Upstream - undredged velocity mag,Berth - undredged velocity mag,Inlet - undredged velocity mag,Mid-estuary - undredged water surface elevation,Upstream - undredged water surface elevation,Berth - undredged water surface elevation,Inlet - undredged water surface elevation,Mid-estuary - dredged velocity mag,Upstream - dredged velocity mag,Berth - dredged velocity mag,Inlet - dredged velocity mag,Mid-estuary - dredged water surface elevation,Upstream - dredged water surface elevation,Berth - dredged water surface elevation,Inlet - dredged water surface elevation,Mid-estuary - Delta vel magnitude,Upstream - Delta vel magnitude,Berth - Delta vel magnitude,Inlet - Delta vel magnitude,Mid-estuary - Delta water surf elevation,Upstream - Delta water surf elevation,Berth - Delta water surf elevation,Inlet - Delta water surf elevation
5.250, 0.096,5.250, 0.004,5.250, 0.052,5.250, 0.050,5.250, 0.924,5.250, 0.931,5.250, 0.924,5.250, 0.922,5.250, 0.095,5.250, 0.004,5.250, 0.031,5.250, 0.038,5.250, 0.924,5.250, 0.932,5.250, 0.923,5.250, 0.922,5.250, -0.001,5.250, -0.000,5.250, -0.021,5.250, -0.013,5.250, -0.000,5.250, 0.000,5.250, -0.000,5.250, 0.000
5.500, 0.058,5.500, 0.002,5.500, 0.033,5.500, 0.035,5.500, 0.944,5.500, 0.951,5.500, 0.943,5.500, 0.941,5.500, 0.056,5.500, 0.002,5.500, 0.019,5.500, 0.025,5.500, 0.943,5.500, 0.951,5.500, 0.942,5.500, 0.941,5.500, -0.002,5.500, -0.000,5.500, -0.013,5.500, -0.009,5.500, -0.000,5.500, -0.000,5.500, -0.000,5.500, -0.000
5.750, 0.032,5.750, 0.000,5.750, 0.018,5.750, 0.020,5.750, 0.957,5.750, 0.961,5.750, 0.957,5.750, 0.955,5.750, 0.030,5.750, 0.000,5.750, 0.011,5.750, 0.014,5.750, 0.957,5.750, 0.961,5.750, 0.956,5.750, 0.955,5.750, -0.001,5.750, -0.000,5.750, -0.008,5.750, -0.005,5.750, -0.000,5.750, -0.001,5.750, -0.000,5.750, -0.000
6.000, 0.011,6.000, 0.001,6.000, 0.006,6.000, 0.006,6.000, 0.963,6.000, 0.967,6.000, 0.962,6.000, 0.960,6.000, 0.010,6.000, 0.001,6.000, 0.003,6.000, 0.004,6.000, 0.962,6.000, 0.966,6.000, 0.961,6.000, 0.960,6.000, -0.001,6.000, 0.000,6.000, -0.003,6.000, -0.002,6.000, -0.001,6.000, -0.001,6.000, -0.000,6.000, -0.000
6.250, 0.022,6.250, 0.002,6.250, 0.013,6.250, 0.016,6.250, 0.956,6.250, 0.967,6.250, 0.954,6.250, 0.950,6.250, 0.023,6.250, 0.002,6.250, 0.008,6.250, 0.013,6.250, 0.955,6.250, 0.966,6.250, 0.953,6.250, 0.950,6.250, 0.000,6.250, 0.000,6.250, -0.005,6.250, -0.004,6.250, -0.001,6.250, -0.001,6.250, -0.001,6.250, -0.000
6.500, 0.082,6.500, 0.005,6.500, 0.047,6.500, 0.050,6.500, 0.933,6.500, 0.955,6.500, 0.928,6.500, 0.923,6.500, 0.084,6.500, 0.005,6.500, 0.029,6.500, 0.039,6.500, 0.931,6.500, 0.954,6.500, 0.927,6.500, 0.923,6.500, 0.002,6.500, 0.000,6.500, -0.018,6.500, -0.012,6.500, -0.002,6.500, -0.001,6.500, -0.001,6.500, -0.000
6.750, 0.155,6.750, 0.010,6.750, 0.086,6.750, 0.085,6.750, 0.896,6.750, 0.926,6.750, 0.890,6.750, 0.884,6.750, 0.157,6.750, 0.010,6.750, 0.052,6.750, 0.064,6.750, 0.894,6.750, 0.924,6.750, 0.888,6.750, 0.884,6.750, 0.002,6.750, 0.000,6.750, -0.034,6.750, -0.021,6.750, -0.002,6.750, -0.001,6.750, -0.001,6.750, -0.000
7.000, 0.210,7.000, 0.013,7.000, 0.116,7.000, 0.110,7.000, 0.851,7.000, 0.880,7.000, 0.846,7.000, 0.841,7.000, 0.213,7.000, 0.013,7.000, 0.069,7.000, 0.083,7.000, 0.848,7.000, 0.878,7.000, 0.844,7.000, 0.841,7.000, 0.002,7.000, 0.000,7.000, -0.046,7.000, -0.028,7.000, -0.002,7.000, -0.002,7.000, -0.001,7.000, 0.000
7.250, 0.246,7.250, 0.015,7.250, 0.135,7.250, 0.134,7.250, 0.796,7.250, 0.823,7.250, 0.791,7.250, 0.786,7.250, 0.248,7.250, 0.015,7.250, 0.081,7.250, 0.100,7.250, 0.793,7.250, 0.821,7.250, 0.790,7.250, 0.786,7.250, 0.002,7.250, 0.000,7.250, -0.054,7.250, -0.035,7.250, -0.003,7.250, -0.003,7.250, -0.002,7.250, 0.000
7.500, 0.286,7.500, 0.016,7.500, 0.158,7.500, 0.164,7.500, 0.725,7.500, 0.761,7.500, 0.718,7.500, 0.711,7.500, 0.289,7.500, 0.016,7.500, 0.094,7.500, 0.121,7.500, 0.721,7.500, 0.758,7.500, 0.716,7.500, 0.711,7.500, 0.002,7.500, 0.000,7.500, -0.064,7.500, -0.043,7.500, -0.004,7.500, -0.003,7.500, -0.002,7.500, 0.000
